DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
12/26/19,24257391049,ORDINARY DIVIDEND (IGOV),,IGOV,,,1.1,,,,
12/26/19,24257319445,ORDINARY DIVIDEND (IEF),,IEF,,,0.94,,,,
12/26/19,24256753831,ORDINARY DIVIDEND (LEMB),,LEMB,,,5.78,,,,
12/20/19,24202911762,ORDINARY DIVIDEND (EFA),,EFA,,,1.55,,,,
12/6/19,24043810761,ORDINARY DIVIDEND (IEF),,IEF,,,0.96,,,,
11/7/19,23788491473,ORDINARY DIVIDEND (EMB),,EMB,,,0.41,,,,
11/7/19,23788415389,ORDINARY DIVIDEND (IEF),,IEF,,,1.01,,,,
11/4/19,23756786896,Bought 1 LEMB @ 45.81,1,LEMB,45.81,0,-45.81,,,,
11/4/19,23756752509,Bought 2 RGNX @ 37.125,2,RGNX,37.125,0,-74.25,,,,
11/4/19,23756720577,Sold 1 EMB @ 113.42,1,EMB,113.42,0,113.42,,,,
10/15/19,23590601241,QUALIFIED DIVIDEND (USB),,USB,,,0.84,,,,
10/15/19,23583856522,ORDINARY DIVIDEND (FPI),,FPI,,,0.8,,,,
10/11/19,23572806239,Bought 2 EFA @ 65.555,2,EFA,65.555,0,-131.11,,,,
10/11/19,23572784290,Sold 1 CHKP @ 111.1,1,CHKP,111.1,0,111.1,,,,
10/7/19,23526245945,ORDINARY DIVIDEND (EMB),,EMB,,,0.4,,,,
10/7/19,23526111673,ORDINARY DIVIDEND (IEF),,IEF,,,1.02,,,,
10/3/19,23506370646,ADR FEE (RBGLY),,RBGLY,,,-0.07,,,,
10/3/19,23506370645,QUALIFIED DIVIDEND (RBGLY),,RBGLY,,,1.08,,,,
9/9/19,23249259282,ORDINARY DIVIDEND (EMB),,EMB,,,0.41,,,,
9/9/19,23249065452,ORDINARY DIVIDEND (IEF),,IEF,,,1.14,,,,
8/7/19,23003393123,ORDINARY DIVIDEND (EMB),,EMB,,,0.42,,,,
8/7/19,23003169693,ORDINARY DIVIDEND (IEF),,IEF,,,1.16,,,,
7/15/19,22807748859,ORDINARY DIVIDEND (FPI),,FPI,,,0.8,,,,
7/15/19,22807569148,QUALIFIED DIVIDEND (USB),,USB,,,0.74,,,,
7/8/19,22755863014,ORDINARY DIVIDEND (EMB),,EMB,,,0.44,,,,
7/8/19,22755765417,ORDINARY DIVIDEND (IEF),,IEF,,,1.15,,,,
6/7/19,22472556687,ORDINARY DIVIDEND (EMB),,EMB,,,0.46,,,,
6/7/19,22472464025,ORDINARY DIVIDEND (IEF),,IEF,,,1.28,,,,
5/31/19,22394526957,ADR FEE (RBGLY),,RBGLY,,,-0.08,,,,
5/31/19,22394526956,QUALIFIED DIVIDEND (RBGLY),,RBGLY,,,1.52,,,,
5/7/19,22226976569,ORDINARY DIVIDEND (EMB),,EMB,,,0.45,,,,
5/7/19,22226906779,ORDINARY DIVIDEND (IEF),,IEF,,,1.27,,,,
4/15/19,22049539965,ORDINARY DIVIDEND (FPI),,FPI,,,0.8,,,,
4/15/19,22049358041,QUALIFIED DIVIDEND (USB),,USB,,,0.74,,,,
4/5/19,21985693386,ORDINARY DIVIDEND (EMB),,EMB,,,0.45,,,,
4/5/19,21985550759,ORDINARY DIVIDEND (IEF),,IEF,,,1.31,,,,
3/7/19,21700968495,ORDINARY DIVIDEND (EMB),,EMB,,,0.44,,,,
3/7/19,21700908703,ORDINARY DIVIDEND (IEF),,IEF,,,1.19,,,,
2/7/19,21480401254,ORDINARY DIVIDEND (EMB),,EMB,,,0.44,,,,
2/7/19,21480240098,ORDINARY DIVIDEND (IEF),,IEF,,,1.32,,,,
1/15/19,21298285026,ORDINARY DIVIDEND (FPI),,FPI,,,1.5,,,,
1/15/19,21298134119,QUALIFIED DIVIDEND (USB),,USB,,,1.48,,,,
1/14/19,21294336355,Bought 4 IGOV @ 48.9201,4,IGOV,48.9201,6.95,-202.63,,,,
1/14/19,21294330528,Bought 2 LEMB @ 44.28,2,LEMB,44.28,0,-88.56,,,,
1/14/19,21294330015,Bought 1 EMB @ 105.4454,1,EMB,105.4454,0,-105.45,,,,
1/14/19,21294326306,Sold 2 GBT @ 45.4421,2,GBT,45.4421,6.95,83.93,,,,
1/14/19,21294325193,Sold 2 USB @ 47.745,2,USB,47.745,6.95,88.54,,,,
1/14/19,21294313307,Sold 16 FPI @ 6.0315,16,FPI,6.0315,6.95,89.55,,,,
1/9/19,21263932151,Bought 5 IGOV @ 48.94,5,IGOV,48.94,6.95,-251.65,,,,
1/9/19,21263928441,Sold 1 PANW @ 193.6,1,PANW,193.6,6.95,186.65,,,,
1/8/19,21253243318,Sold 10 FPI @ 5.88,10,FPI,5.88,6.95,51.85,,,,
***END OF FILE***,,,,,,,,,,,
