DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
12/28/18,21139519286,Bought 12 FPI @ 4.555,12,FPI,4.555,6.95,-61.61,,,,
12/24/18,21081400362,ORDINARY DIVIDEND (IEF),,IEF,,,1.28,,,,
12/20/18,21051249827,Bought 1 GBT @ 37.5487,1,GBT,37.5487,6.95,-44.5,,,,
12/7/18,20925072321,Bought 4 USB @ 52.2948,4,USB,52.2948,6.95,-216.13,,,,
12/7/18,20916671323,ORDINARY DIVIDEND (IEF),,IEF,,,1.27,,,,
12/6/18,20911979174,Bought 1 GBT @ 44.45,1,GBT,44.45,6.95,-51.4,,,,
12/4/18,20883577487,QUALIFIED DIVIDEND (V),,V,,,0.25,,,,
11/30/18,20843987391,Sold 14 GAIA @ 12.9477,14,GAIA,12.9477,6.95,174.32,,,,
11/30/18,20843730129,Sold 2 GAIA @ 12.8101,2,GAIA,12.8101,6.95,18.67,,,,
11/28/18,20823537458,ADR FEE (BIDU),,BIDU,,,-0.02,,,,
11/21/18,20787561458,QUALIFIED DIVIDEND (C),,C,,,0.45,,,,
11/16/18,20763596687,Bought 1 PANW @ 168.67,1,PANW,168.67,6.95,-175.62,,,,
11/16/18,20763592182,Sold 1 V @ 140.4965,1,V,140.4965,6.95,133.55,,,,
11/15/18,20753395898,Bought 20 GLDM @ 12.125,20,GLDM,12.125,0,-242.5,,,,
11/15/18,20753377593,Bought 6 IEF @ 100.81,6,IEF,100.81,6.95,-611.81,,,,
11/12/18,20721284969,Bought 16 GAIA @ 12.153,16,GAIA,12.153,6.95,-201.4,,,,
11/8/18,20707096178,Sold 2 IVV @ 281.9166,2,IVV,281.9166,6.95,556.87,0.01,,,
11/8/18,20707095504,Sold 1 V @ 144.85,1,V,144.85,6.95,137.9,,,,
11/8/18,20707094109,Sold 1 CHKP @ 111.4306,1,CHKP,111.4306,6.95,104.48,,,,
11/8/18,20707091799,Sold 1 PANW @ 187.9226,1,PANW,187.9226,6.95,180.97,,,,
11/8/18,20707090744,Sold 7 RBGLY @ 16.35,7,RBGLY,16.35,6.95,107.5,,,,
11/8/18,20707087282,Sold 2 JPM @ 112.06,2,JPM,112.06,6.95,217.17,,,,
11/8/18,20707085634,Sold 1 C @ 67.4153,1,C,67.4153,6.95,60.47,,,,
10/31/18,20604457511,QUALIFIED DIVIDEND (JPM),,JPM,,,1.6,,,,
10/24/18,20558256347,Bought 1 PANW @ 194.348,1,PANW,194.348,6.95,-201.3,,,,
10/24/18,20557690782,Bought 30 FPI @ 6.8361,30,FPI,6.8361,6.95,-212.03,,,,
10/12/18,20484659970,Bought 2 IVV @ 276.32,2,IVV,276.32,6.95,-559.59,,,,
10/12/18,20484646651,Sold 1 BABA @ 146.0094,1,BABA,146.0094,6.95,139.06,,,,
10/12/18,20484645784,Sold 1 BIDU @ 202.8032,1,BIDU,202.8032,6.95,195.85,,,,
10/4/18,20417979138,ADR FEE (RBGLY),,RBGLY,,,-0.14,,,,
