DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
7/30/20,27891066721,Bought 2 EQR @ 53.71,2,EQR,53.71,0,-107.42,,,,
7/30/20,27891080517,Sold 2 HHC @ 53.5075,2,HHC,53.5075,0,107.02,,,,
7/13/20,27571230725,Bought 2 TWTR @ 33.8099,2,TWTR,33.8099,0,-67.62,,,,
7/13/20,27563145107,Bought 2 TWTR @ 35.815,2,TWTR,35.815,0,-71.63,,,,
7/13/20,27563174980,Sold 3 HHC @ 51.42,3,HHC,51.42,0,154.26,,,,
7/6/20,27413378721,Bought 10 AX @ 21.73,10,AX,21.73,0,-217.3,,,,
7/6/20,27413212544,Sold 3 IAU @ 17.035,3,IAU,17.035,0,51.11,,,,
6/30/20,27305142438,MISCELLANEOUS JOURNAL ENTRY,,,,,0.01,,,,
6/30/20,27301944623,Bought 2 HHC @ 51.455,2,HHC,51.455,0,-102.91,,,,
6/30/20,27273248307,QUALIFIED DIVIDEND (AGM),,AGM,,,8,,,,
6/29/20,27257692077,Bought 7 HHC @ 50.755,7,HHC,50.755,0,-355.29,,,,
6/29/20,27257617853,Sold 12 SRG @ 10.965,12,SRG,10.965,0,131.58,,,,
6/29/20,27257621817,Bought 35 ESRT @ 6.635,35,ESRT,6.635,0,-232.23,,,,
6/29/20,27257611308,Sold 6 VT @ 73.245,6,VT,73.245,0,439.46,0.01,,,
6/25/20,27175389123,ORDINARY DIVIDEND (VT),,VT,,,2.16,,,,
6/24/20,27168467114,Bought 12 SRG @ 10.6399,12,SRG,10.6399,0,-127.68,,,,
6/24/20,27165789116,Bought 1 AGM @ 62.535,1,AGM,62.535,0,-62.54,,,,
6/19/20,27089541977,Sold 4 VT @ 75.3601,4,VT,75.3601,0,301.43,0.01,,,
6/12/20,26928362687,QUALIFIED DIVIDEND (HII),,HII,,,1.03,,,,
6/1/20,26666447586,Sold 6 CARR @ 21.2801,6,CARR,21.2801,0,127.68,,,,
5/26/20,26547132604,Bought 10 VT @ 72.1399,10,VT,72.1399,0,-721.4,,,,
5/26/20,26546385874,Sold 22 EADSY @ 17,22,EADSY,17,6.95,367.04,0.01,,,
5/13/20,26353600581,Bought 3 AGM @ 55.065,3,AGM,55.065,0,-165.2,,,,
5/13/20,26353586582,Sold 1 LQD @ 127.545,1,LQD,127.545,0,127.55,,,,
5/8/20,26265434464,QUALIFIED DIVIDEND (GD),,GD,,,1.1,,,,
5/7/20,26239176933,ORDINARY DIVIDEND (LQD),,LQD,,,0.32,,,,
5/1/20,26158913316,Sold 3 TWTR @ 27.4901,3,TWTR,27.4901,0,82.47,,,,
4/29/20,26077578136,Sold 5 CARR @ 17.8901,5,CARR,17.8901,0,89.45,,,,
4/27/20,26032879457,Sold 3 PFF @ 34.0001,3,PFF,34.0001,0,102,,,,
4/27/20,26032852077,Bought 22 EADSY @ 13.64,22,EADSY,13.64,6.95,-307.03,,,,
4/24/20,26014779249,Sold 10 CARR @ 16.4401,10,CARR,16.4401,0,164.4,,,,
4/21/20,25951294964,Sold 3 PFF @ 33.2201,3,PFF,33.2201,0,99.66,,,,
4/21/20,25951264418,Bought 3 TWTR @ 25.9299,3,TWTR,25.9299,0,-77.79,,,,
4/20/20,25928949959,Bought 6 PFF @ 33.6599,6,PFF,33.6599,0,-201.96,,,,
4/20/20,25928946202,Sold 3 LQD @ 129.7601,3,LQD,129.7601,0,389.27,0.01,,,
4/20/20,25927216217,Bought 1 AGM @ 59.0999,1,AGM,59.0999,0,-59.1,,,,
4/20/20,25927195090,Sold 4 CARR @ 14.6501,4,CARR,14.6501,0,58.6,,,,
4/17/20,25902625141,Bought 1 HII @ 195.81,1,HII,195.81,0,-195.81,,,,
4/17/20,25902615620,Sold 1 LQD @ 130.905,1,LQD,130.905,0,130.91,,,,
4/17/20,25900240308,Bought 1 FB @ 178.565,1,FB,178.565,0,-178.57,,,,
4/16/20,25879316102,Bought 25 CARR @ 12.5599,25,CARR,12.5599,0,-314,,,,
4/16/20,25879279717,Sold 3 IEF @ 122.2101,3,IEF,122.2101,0,366.62,0.01,,,
4/16/20,25879260713,Sold 12 SDS @ 25.325,12,SDS,25.325,0,303.89,0.01,,,
4/15/20,25861757798,Bought 4 SDS @ 25.345,4,SDS,25.345,0,-101.38,,,,
4/14/20,25833861445,Bought 5 LQD @ 130.7,5,LQD,130.7,0,-653.5,,,,
4/13/20,25810070139,Bought 3 IEF @ 120.9999,3,IEF,120.9999,0,-363,,,,
